eps,eps_pixel,sample_index,label,attack_source,clean_original_prediction,clean_hira_ranpac_prediction,original_prediction_on_adv,hira_ranpac_prediction_on_adv,original_correct_on_adv,hira_ranpac_correct_on_adv,source_attack_succeeded,cross_transfer_succeeded,original_toplogit_norm_margin_on_adv,hira_ranpac_regression_toplogit_norm_margin_on_adv
0.0,0.0,2093,41,original,41,41,41,41,1,1,0,0,0.5298448204994202,0.5685035586357117
0.0,0.0,2051,41,original,41,41,41,41,1,1,0,0,0.539770781993866,0.5801773071289062
0.0,0.0,2078,41,original,41,41,41,41,1,1,0,0,0.34317746758461,0.366170197725296
0.0,0.0,2064,41,original,41,41,41,41,1,1,0,0,0.5476837754249573,0.5900061726570129
0.0,0.0,2086,41,original,41,41,41,41,1,1,0,0,0.5797402858734131,0.6225458979606628
0.0,0.0,2062,41,original,41,41,41,41,1,1,0,0,0.5682126879692078,0.6023596525192261
0.0,0.0,2050,41,original,41,41,41,41,1,1,0,0,0.5973395705223083,0.6362212896347046
0.0,0.0,2077,41,original,41,41,41,41,1,1,0,0,0.3606225550174713,0.3965277075767517
0.0,0.0,2097,41,original,41,41,41,41,1,1,0,0,0.23719042539596558,0.2310037910938263
0.0,0.0,2057,41,original,41,41,41,41,1,1,0,0,0.3398365378379822,0.3824068307876587
0.0,0.0,2083,41,original,41,41,41,41,1,1,0,0,0.5747964978218079,0.6114453673362732
0.0,0.0,2084,41,original,41,41,41,41,1,1,0,0,0.1516694724559784,0.1580190509557724
0.0,0.0,2070,41,original,41,41,41,41,1,1,0,0,0.4885987639427185,0.519385039806366
0.0,0.0,2099,41,original,41,41,41,41,1,1,0,0,0.372071236371994,0.39385318756103516
0.0,0.0,2055,41,original,41,41,41,41,1,1,0,0,0.4044160544872284,0.42436665296554565
0.0,0.0,2088,41,original,41,41,41,41,1,1,0,0,0.4502304792404175,0.48723530769348145
0.0,0.0,2093,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5298448204994202,0.5685035586357117
0.0,0.0,2051,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.539770781993866,0.5801773071289062
0.0,0.0,2078,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.34317746758461,0.366170197725296
0.0,0.0,2064,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5476837754249573,0.5900061726570129
0.0,0.0,2086,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5797402858734131,0.6225458979606628
0.0,0.0,2062,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5682126879692078,0.6023596525192261
0.0,0.0,2050,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5973395705223083,0.6362212896347046
0.0,0.0,2077,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.3606225550174713,0.3965277075767517
0.0,0.0,2097,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.23719042539596558,0.2310037910938263
0.0,0.0,2057,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.3398365378379822,0.3824068307876587
0.0,0.0,2083,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.5747964978218079,0.6114453673362732
0.0,0.0,2084,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.1516694724559784,0.1580190509557724
0.0,0.0,2070,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.4885987639427185,0.519385039806366
0.0,0.0,2099,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.372071236371994,0.39385318756103516
0.0,0.0,2055,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.4044160544872284,0.42436665296554565
0.0,0.0,2088,41,hira_ranpac_regression,41,41,41,41,1,1,0,0,0.4502304792404175,0.48723530769348145
0.00392156862745098,1.0,2093,41,original,41,41,41,41,1,1,0,0,0.5262591242790222,0.5649339556694031
