eps,eps_pixel,sample_index,label,original_prediction,hira_ranpac_prediction,original_clean_margin,hira_ranpac_clean_mixed_margin,original_clean_toplogit_norm_margin,hira_ranpac_clean_mixed_toplogit_norm_margin,original_clean_prob_margin,hira_ranpac_clean_mixed_prob_margin,original_adv_margin,hira_ranpac_adv_mixed_margin,hira_baseline_branch_adv_margin,ranpac_branch_adv_margin,margin_delta_hira_ranpac_minus_original,original_adv_toplogit_norm_margin,hira_ranpac_adv_mixed_toplogit_norm_margin,hira_baseline_branch_adv_toplogit_norm_margin,ranpac_branch_adv_toplogit_norm_margin,toplogit_norm_margin_delta_hira_ranpac_minus_original,original_adv_prob_margin,hira_ranpac_adv_mixed_prob_margin,hira_baseline_branch_adv_prob_margin,ranpac_branch_adv_prob_margin,prob_margin_delta_hira_ranpac_minus_original,original_feature_drift,hira_penultimate_drift,ranpac_projected_drift,original_absolute_feature_drift,hira_penultimate_absolute_drift,ranpac_projected_absolute_drift,original_input_l2_perturbation,hira_ranpac_input_l2_perturbation,original_lipschitz_sensitivity,hira_penultimate_lipschitz_sensitivity,ranpac_projected_lipschitz_sensitivity,original_centroid_ratio,ranpac_projected_centroid_ratio,original_knn_true_label_frac_at_10,ranpac_projected_knn_true_label_frac_at_10,is_rescue_case
0.0,0.0,2093,41,41,41,4.4192681312561035,2.6122450828552246,0.5298447012901306,0.5685034990310669,0.7784767746925354,0.08193425834178925,4.4192681312561035,2.6122450828552246,4.461321830749512,0.7236133813858032,-1.807023048400879,0.5298447012901306,0.5685034990310669,0.5311256647109985,0.9157909154891968,0.03865879774093628,0.7784767746925354,0.08193425834178925,0.7880529761314392,0.0011333078145980835,-0.696542501449585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193291425704956,0.41657012701034546,1.0,1.0,0
0.0,0.0,2051,41,41,41,4.558176040649414,2.6981701850891113,0.539770781993866,0.5801772475242615,0.7992674708366394,0.08726809173822403,4.558176040649414,2.6981701850891113,4.592051982879639,0.7980521321296692,-1.8600058555603027,0.539770781993866,0.5801772475242615,0.5418858528137207,0.9650112986564636,0.04040646553039551,0.7992674708366394,0.08726809173822403,0.8042763471603394,0.0012551679974421859,-0.7119993567466736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012833893299103,0.3931330144405365,1.0,1.0,0
0.0,0.0,2078,41,41,41,3.0911202430725098,1.7880866527557373,0.34317755699157715,0.36617040634155273,0.7790514230728149,0.08978518098592758,3.0911202430725098,1.7880866527557373,3.1314339637756348,0.4447386860847473,-1.3030335903167725,0.34317755699157715,0.36617040634155273,0.3403014540672302,0.7878780364990234,0.022992849349975586,0.7790514230728149,0.08978518098592758,0.7943633198738098,0.0006304474081844091,-0.6892662644386292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066055655479431,0.6400988698005676,1.0,1.0,0
0.0,0.0,2064,41,41,41,4.581953048706055,2.7371034622192383,0.5476837754249573,0.5900061130523682,0.7880199551582336,0.0865233764052391,4.581953048706055,2.7371034622192383,4.68853235244751,0.7856752276420593,-1.8448495864868164,0.5476837754249573,0.5900061130523682,0.5539747476577759,0.9642782211303711,0.04232233762741089,0.7880199551582336,0.0865233764052391,0.8042460083961487,0.0012273818720132113,-0.7014966011047363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30252373218536377,0.399397075176239,1.0,1.0,0
0.0,0.0,2086,41,41,41,4.657642364501953,2.762556552886963,0.5797402858734131,0.6225460171699524,0.734093964099884,0.07222473621368408,4.657642364501953,2.762556552886963,4.741962432861328,0.7396764755249023,-1.8950858116149902,0.5797402858734131,0.6225460171699524,0.5858171582221985,0.9477987289428711,0.04280573129653931,0.734093964099884,0.07222473621368408,0.7462422251701355,0.0011392239248380065,-0.6618692278862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328213691711426,0.42389270663261414,1.0,1.0,0
0.0,0.0,2062,41,41,41,4.557239532470703,2.633535861968994,0.5682126879692078,0.6023596525192261,0.730437695980072,0.06736494600772858,4.557239532470703,2.633535861968994,4.523916244506836,0.7301750183105469,-1.923703670501709,0.5682126879692078,0.6023596525192261,0.5664492249488831,0.9637768864631653,0.03414696455001831,0.730437695980072,0.06736494600772858,0.7239859700202942,0.001103874179534614,-0.6630727648735046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149356544017792,0.4058453142642975,1.0,1.0,0
0.0,0.0,2050,41,41,41,5.012807846069336,2.940065383911133,0.5973397493362427,0.636221170425415,0.7975395917892456,0.08639311790466309,5.012807846069336,2.940065383911133,5.07246208190918,0.7703011631965637,-2.072742462158203,0.5973397493362427,0.636221170425415,0.6005471348762512,0.9678698778152466,0.03888142108917236,0.7975395917892456,0.08639311790466309,0.8064327836036682,0.0011887457221746445,-0.7111464738845825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37009164690971375,0.4653238356113434,1.0,1.0,0
0.0,0.0,2077,41,41,41,3.0397143363952637,1.8178157806396484,0.3606225848197937,0.39652782678604126,0.7292565107345581,0.07215956598520279,3.0397143363952637,1.8178157806396484,3.0428967475891113,0.5927350521087646,-1.2218985557556152,0.3606225848197937,0.39652782678604126,0.3601585328578949,0.8233616352081299,0.03590524196624756,0.7292565107345581,0.07215956598520279,0.731249213218689,0.0009173050057142973,-0.6570969223976135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3401777446269989,0.4457417130470276,1.0,1.0,0
0.0,0.0,2097,41,41,41,2.0773520469665527,1.102238416671753,0.23719073832035065,0.23100394010543823,0.6619024276733398,0.06604817509651184,2.0773520469665527,1.102238416671753,1.9180312156677246,0.286445677280426,-0.9751136302947998,0.23719073832035065,0.23100394010543823,0.21309958398342133,0.5281140208244324,-0.0061867982149124146,0.6619024276733398,0.06604817509651184,0.6528199315071106,0.00042784283868968487,-0.5958542823791504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5808852314949036,0.6967867016792297,1.0,1.0,0
0.0,0.0,2057,41,41,41,2.8506531715393066,1.7462401390075684,0.3398362696170807,0.3824068009853363,0.7100345492362976,0.06995487213134766,2.8506531715393066,1.7462401390075684,2.8857998847961426,0.6066802144050598,-1.1044130325317383,0.3398362696170807,0.3824068009853363,0.3436533510684967,0.8248794674873352,0.042570531368255615,0.7100345492362976,0.06995487213134766,0.7141305208206177,0.0009476719424128532,-0.64007967710495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35368993878364563,0.46062421798706055,1.0,1.0,0
